	Z:\Vacuum\Pilot Testing\Test_Aug11\FV_empty.c3d	Z:\Vacuum\Pilot Testing\Test_Aug11\FV_empty.c3d	Z:\Vacuum\Pilot Testing\Test_Aug11\FV_empty.c3d	Z:\Vacuum\Pilot Testing\Test_Aug11\FV_empty.c3d	Z:\Vacuum\Pilot Testing\Test_Aug11\FV_empty.c3d	Z:\Vacuum\Pilot Testing\Test_Aug11\FV_empty.c3d
	FVHL	FVHL	FVHL	FVHR	FVHR	FVHR
	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
237	0.95911	0.28251	0.08486	0.99198	0.00141	0.07733
238	0.95590	0.28242	0.08440	0.98902	0.00210	0.07734
239	0.95411	0.28264	0.08445	0.98672	0.00167	0.07693
240	0.95246	0.28211	0.08401	0.98514	0.00187	0.07671
241	0.95157	0.28255	0.08430	0.98494	0.00180	0.07660
242	0.95092	0.28263	0.08474	0.98504	0.00186	0.07683
243	0.95058	0.28291	0.08458	0.98429	0.00111	0.07612
244	0.95099	0.28296	0.08449	0.98491	0.00201	0.07653
245	0.95148	0.28278	0.08433	0.98507	0.00198	0.07633
246	0.95238	0.28256	0.08414	0.98589	0.00194	0.07619
247	0.95353	0.28293	0.08415	0.98783	0.00188	0.07607
248	0.95527	0.28296	0.08434	0.98925	0.00205	0.07587
249	0.95692	0.28283	0.08388	0.99146	0.00215	0.07571
250	0.95992	0.28329	0.08393	0.99327	0.00168	0.07532
251	0.96231	0.28342	0.08382	0.99621	0.00214	0.07628
252	0.96535	0.28358	0.08423	0.99886	0.00233	0.07633
253	0.96840	0.28360	0.08415	1.00218	0.00279	0.07633
254	0.97181	0.28355	0.08390	1.00602	0.00307	0.07679
255	0.97608	0.28413	0.08400	1.00976	0.00358	0.07608
256	0.98039	0.28454	0.08465	1.01365	0.00358	0.07632
257	0.98456	0.28446	0.08376	1.01809	0.00411	0.07610
258	0.98919	0.28502	0.08470	1.02264	0.00391	0.07653
259	0.99397	0.28512	0.08447	1.02775	0.00427	0.07624
260	0.99873	0.28503	0.08390	1.03294	0.00472	0.07686
261	1.00412	0.28603	0.08466	1.03795	0.00442	0.07581
262	1.01001	0.28609	0.08425	1.04412	0.00575	0.07679
263	1.01555	0.28711	0.08402	1.05036	0.00617	0.07647
264	1.02135	0.28726	0.08448	1.05715	0.00643	0.07672
265	1.02758	0.28748	0.08397	1.06335	0.00667	0.07551
266	1.03377	0.28847	0.08426	1.07007	0.00804	0.07637
267	1.04090	0.28913	0.08507	1.07786	0.00859	0.07694
268	1.04758	0.28988	0.08542	1.08488	0.00989	0.07716
269	1.05395	0.29066	0.08459	1.09196	0.01032	0.07739
270	1.06133	0.29115	0.08437	1.10043	0.01119	0.07638
271	1.06896	0.29226	0.08483	1.10860	0.01184	0.07622
272	1.07663	0.29284	0.08465	1.11632	0.01229	0.07556
273	1.08403	0.29375	0.08550	1.12440	0.01312	0.07575
274	1.09129	0.29445	0.08468	1.13297	0.01493	0.07680
275	1.10057	0.29533	0.08515	1.14132	0.01576	0.07633
276	1.10795	0.29672	0.08466	1.15042	0.01619	0.07618
277	1.11612	0.29758	0.08524	1.15953	0.01748	0.07643
278	1.12450	0.29858	0.08480	1.16924	0.01919	0.07697
279	1.13368	0.29986	0.08513	1.17838	0.02034	0.07666
280	1.14196	0.30099	0.08458	1.18745	0.02116	0.07647
281	1.15095	0.30217	0.08457	1.19718	0.02329	0.07695
282	1.15959	0.30328	0.08512	1.20698	0.02488	0.07680
283	1.16875	0.30483	0.08487	1.21682	0.02594	0.07644
284	1.17766	0.30633	0.08557	1.22748	0.02788	0.07732
285	1.18703	0.30744	0.08534	1.23745	0.02891	0.07728
286	1.19663	0.30886	0.08538	1.24748	0.03091	0.07812
287	1.20654	0.31058	0.08548	1.25763	0.03154	0.07699
288	1.21599	0.31224	0.08508	1.26883	0.03331	0.07709
289	1.22546	0.31366	0.08518	1.27919	0.03547	0.07800
290	1.23547	0.31476	0.08519	1.28984	0.03758	0.07830
291	1.24570	0.31631	0.08514	1.30061	0.03891	0.07812
292	1.25552	0.31841	0.08619	1.31080	0.04080	0.07879
293	1.26589	0.31938	0.08531	1.32136	0.04238	0.07860
294	1.27646	0.32115	0.08605	1.33298	0.04357	0.07781
295	1.28667	0.32291	0.08511	1.34350	0.04563	0.07877
296	1.29782	0.32411	0.08510	1.35472	0.04747	0.07833
297	1.30867	0.32576	0.08540	1.36561	0.04913	0.07834
298	1.31896	0.32798	0.08582	1.37661	0.05089	0.07852
299	1.33028	0.32879	0.08575	1.38791	0.05225	0.07919
300	1.34076	0.33118	0.08518	1.39909	0.05391	0.07900
301	1.35176	0.33267	0.08542	1.41051	0.05552	0.07888
302	1.36252	0.33459	0.08534	1.42116	0.05702	0.07883
303	1.37369	0.33585	0.08497	1.43306	0.05912	0.07892
304	1.38513	0.33730	0.08586	1.44380	0.06028	0.07891
305	1.39637	0.33941	0.08623	1.45522	0.06260	0.07985
306	1.40729	0.34143	0.08552	1.46678	0.06511	0.07976
307	1.41853	0.34286	0.08562	1.47764	0.06605	0.07876
308	1.42973	0.34465	0.08515	1.48909	0.06795	0.07985
309	1.44089	0.34664	0.08588	1.50092	0.06964	0.08010
310	1.45207	0.34839	0.08550	1.51289	0.07135	0.07953
311	1.46369	0.34922	0.08537	1.52368	0.07307	0.07980
312	1.47529	0.35151	0.08527	1.53532	0.07520	0.08033
313	1.48644	0.35370	0.08512	1.54666	0.07641	0.08003
314	1.49845	0.35466	0.08561	1.55820	0.07843	0.08046
315	1.50994	0.35645	0.08524	1.56907	0.08002	0.08015
316	1.52173	0.35722	0.08470	1.58036	0.08120	0.07913
317	1.53281	0.35936	0.08472	1.59169	0.08273	0.07956
318	1.54508	0.36073	0.08456	1.60323	0.08386	0.07949
319	1.55617	0.36310	0.08475	1.61482	0.08530	0.07876
320	1.56796	0.36444	0.08473	1.62705	0.08794	0.07905
321	1.58035	0.36514	0.08478	1.63769	0.08868	0.07940
322	1.59147	0.36709	0.08500	1.64978	0.09060	0.07904
323	1.60296	0.36874	0.08524	1.66042	0.09169	0.07963
324	1.61480	0.37001	0.08463	1.67185	0.09279	0.08022
325	1.62654	0.37162	0.08487	1.68275	0.09422	0.07978
326	1.63747	0.37346	0.08495	1.69392	0.09555	0.07969
327	1.64928	0.37497	0.08470	1.70551	0.09785	0.08028
328	1.66045	0.37666	0.08452	1.71691	0.09924	0.07909
329	1.67227	0.37755	0.08414	1.72850	0.10077	0.07996
330	1.68350	0.37925	0.08436	1.73958	0.10173	0.07879
331	1.69496	0.38061	0.08463	1.75012	0.10366	0.07931
332	1.70653	0.38174	0.08409	1.76105	0.10385	0.07903
333	1.71776	0.38278	0.08404	1.77192	0.10521	0.07914
334	1.72877	0.38438	0.08468	1.78297	0.10627	0.07874
335	1.74006	0.38557	0.08430	1.79315	0.10775	0.07940
336	1.75159	0.38629	0.08375	1.80424	0.10896	0.07886
337	1.76284	0.38758	0.08435	1.81463	0.10993	0.07899
338	1.77364	0.38913	0.08410	1.82538	0.11084	0.07868
339	1.78453	0.39006	0.08435	1.83583	0.11115	0.07839
340	1.79601	0.39105	0.08468	1.84611	0.11243	0.07928
341	1.80670	0.39215	0.08508	1.85598	0.11339	0.07956
342	1.81749	0.39294	0.08433	1.86647	0.11500	0.07967
343	1.82802	0.39344	0.08428	1.87663	0.11553	0.07949
344	1.83932	0.39466	0.08433	1.88717	0.11600	0.07955
345	1.85002	0.39552	0.08393	1.89727	0.11723	0.07935
346	1.86050	0.39664	0.08446	1.90643	0.11752	0.07913
347	1.87053	0.39748	0.08423	1.91624	0.11760	0.07850
348	1.88131	0.39811	0.08427	1.92606	0.11858	0.07817
349	1.89154	0.39837	0.08417	1.93565	0.11857	0.07868
350	1.90234	0.39836	0.08278	1.94515	0.11980	0.07920
351	1.91199	0.40008	0.08382	1.95485	0.12024	0.07846
352	1.92242	0.40060	0.08393	1.96448	0.12056	0.07839
353	1.93326	0.40048	0.08367	1.97394	0.12162	0.07889
354	1.94238	0.40177	0.08400	1.98307	0.12152	0.07827
355	1.95267	0.40259	0.08385	1.99228	0.12265	0.07877
356	1.96213	0.40293	0.08399	2.00069	0.12199	0.07869
357	1.97108	0.40288	0.08436	2.00970	0.12239	0.07890
358	1.98086	0.40346	0.08439	2.01848	0.12293	0.07827
359	1.99007	0.40418	0.08480	2.02697	0.12308	0.07864
360	1.99865	0.40310	0.08356	2.03511	0.12372	0.07860
361	2.00824	0.40457	0.08380	2.04278	0.12284	0.07777
362	2.01663	0.40457	0.08345	2.05196	0.12412	0.07886
363	2.02561	0.40506	0.08311	2.06007	0.12462	0.07784
364	2.03397	0.40552	0.08398	2.06712	0.12451	0.07809
365	2.04186	0.40579	0.08388	2.07386	0.12357	0.07738
366	2.04946	0.40548	0.08399	2.08138	0.12469	0.07831
367	2.05688	0.40551	0.08375	2.08824	0.12421	0.07833
368	2.06494	0.40577	0.08381	2.09514	0.12463	0.07823
369	2.07149	0.40583	0.08456	2.10153	0.12453	0.07854
370	2.07836	0.40599	0.08425	2.10758	0.12473	0.07837
371	2.08497	0.40609	0.08373	2.11293	0.12389	0.07830
372	2.09153	0.40616	0.08464	2.11866	0.12451	0.07899
373	2.09742	0.40583	0.08444	2.12337	0.12324	0.07770
374	2.10256	0.40527	0.08394	2.12859	0.12391	0.07738
375	2.10764	0.40457	0.08384	2.13289	0.12356	0.07774
